Hierarchy,Title,Project,Releases,Team,Assignee,Reporter,Sprint,Target start date,Target end date,Due date,Estimates (d),Parent,Priority,Labels,Components,Issue key,Issue status,Progress (%),Progress completed (d),Progress remaining (d),Progress (%) issue count (IC),To do IC,In progress IC,Done IC,Total IC,Start date (roll-up),Start date
Epic,Add theme support,Lynx,v2.1,Nova Squad,Riley Quinn,Jordan Blake,Sprint 18,,,18/Jan/26,8,,Medium,"API,Backend",Frontend,Nebula-1001,Done,8,3,12,100,3,3,2,8,,30/Oct/24
Epic,Refactor chat module,Helix,v3.8,Delta Force,Taylor Cruz,Jamie Fox,Sprint 9,,13/Jun/26,05/Aug/25,15,,Low,UI,Database,Apollo-1002,To Do,7,2,13,18,2,3,2,7,23/Aug/24,
Epic,Update reporting support,Nebula,v2.3,Alpha Team,Taylor Cruz,Taylor Cruz,Sprint 12,11/Dec/25,22/Jan/26,17/Nov/24,13,,High,"Backend,Performance",Database,Nebula-1011,To Do,8,1,14,10,3,3,2,8,03/Apr/25,24/Jan/26
Epic,Fix theme layout,Helix,v1.8,Zeta Group,Riley Quinn,Riley Quinn,Sprint 6,09/Aug/25,28/Feb/26,16/Sep/25,8,,Medium,"API,Performance","Analytics,Notifications",Apollo-1015,To Do,5,3,12,25,1,3,1,5,09/Feb/26,
Epic,Refactor dashboard module,Helix,v5.0,Alpha Team,Alex Hunter,Riley Quinn,Sprint 3,01/Jan/26,02/Jun/26,16/Feb/25,2,Apollo-53,Low,"UI,Backend,Performance","Analytics,Authentication",Nebula-1017,In Progress,1,0,15,13,0,1,0,1,12/Dec/24,23/Apr/26
Epic,Remove login layout,Orion,v5.4,Delta Force,Jordan Blake,Jordan Blake,Sprint 11,07/Jan/25,12/Mar/25,25/Jun/24,2,,Critical,Backend,Analytics,Apollo-1026,Blocked,4,0,15,5,2,0,2,4,08/May/25,09/Jul/24
Epic,Refactor reporting module,Lynx,v1.4,Gamma Crew,Jordan Blake,Taylor Cruz,Sprint 14,24/Oct/25,15/Mar/26,,12,,Low,"Feature,Security",Authentication,Apollo-1028,Blocked,4,0,15,5,2,0,2,4,08/Dec/24,23/May/25
Epic,Add dashboard bug,Lynx,v5.3,Alpha Team,Riley Quinn,Jamie Fox,Sprint 16,22/Jul/25,,19/Feb/25,3,Apollo-105,Low,"Backend,Feature,API",Frontend,Nebula-1030,To Do,7,0,15,4,3,3,1,7,,02/Sep/25
Epic,Remove chat feature,Apollo,v1.8,Zeta Group,Jamie Fox,Riley Quinn,Sprint 17,22/Jul/25,31/Aug/24,12/Apr/25,8,Nebula-56,Medium,"API,Feature","Database,Notifications",Apollo-1046,Done,6,3,12,23,2,1,3,6,04/Sep/24,02/Dec/25
Epic,Fix login feature,Orion,v2.4,Delta Force,Riley Quinn,Alex Hunter,Sprint 25,23/Jan/25,05/Aug/25,19/Oct/25,4,Apollo-25,High,"Feature,Performance",Notifications,Apollo-1048,Done,3,3,12,29,0,2,1,3,29/Jan/26,12/Oct/25
Epic,Remove chat feature,Orion,v5.0,Nova Squad,Taylor Cruz,Jordan Blake,Sprint 27,08/Nov/25,24/Oct/25,29/Jul/25,7,,Medium,"Feature,UI,Performance","Authentication,Database",Nebula-1054,To Do,6,1,14,7,2,1,3,6,25/Apr/25,30/Jan/25
Epic,Add dashboard support,Helix,v2.3,Nova Squad,Jamie Fox,Jamie Fox,Sprint 16,07/Dec/24,06/Aug/24,03/Jul/24,5,Apollo-16,High,"Backend,UI",Frontend,Nebula-1056,To Do,2,0,15,6,0,1,1,2,21/Oct/24,12/Dec/25
Epic,Add reporting support,Helix,v1.6,Nova Squad,Jamie Fox,Jamie Fox,Sprint 29,,05/Aug/24,,5,,Low,Performance,"Database,Frontend",Apollo-1058,In Progress,3,0,15,0,0,1,2,3,13/Dec/24,10/Jul/25
Epic,Add dashboard bug,Lynx,v5.3,Gamma Crew,Riley Quinn,Jordan Blake,Sprint 16,,,02/Jun/26,14,,Medium,"Backend,API","Frontend,Notifications",Nebula-1061,In Progress,4,0,15,14,0,3,1,4,,09/Oct/24
Epic,Add login support,Apollo,v3.1,Delta Force,Riley Quinn,Jamie Fox,Sprint 1,,,16/Feb/25,2,Nebula-107,Critical,UI,Authentication,Apollo-1066,To Do,5,0,15,15,1,1,3,5,10/May/26,10/Sep/25
Epic,Refactor chat support,Lynx,v3.7,Nova Squad,Alex Hunter,Riley Quinn,Sprint 9,,21/Feb/26,05/Feb/26,1,,Critical,Backend,"Database,Notifications",Apollo-1068,Blocked,3,0,15,1,1,1,1,3,22/Apr/25,23/Sep/24
Epic,Add dashboard support,Nebula,v4.0,Gamma Crew,Jamie Fox,Taylor Cruz,Sprint 14,05/Jan/26,11/Jan/25,19/Oct/24,11,Apollo-68,Low,Feature,Notifications,Nebula-1070,In Progress,8,0,15,14,3,3,2,8,26/Aug/25,04/Feb/26
Epic,Update dashboard support,Apollo,v3.2,Alpha Team,Jordan Blake,Riley Quinn,Sprint 29,15/Jul/25,19/Oct/25,19/Jan/26,1,Nebula-59,Medium,UI,"Notifications,Authentication",Apollo-1072,To Do,5,0,15,5,1,3,1,5,,11/Mar/25
Epic,Update reporting feature,Apollo,v3.2,Delta Force,Jordan Blake,Jamie Fox,Sprint 18,11/Aug/25,31/Jul/24,,14,Apollo-66,Critical,"API,UI","Notifications,Analytics",Apollo-1074,Blocked,3,1,14,15,2,0,1,3,15/Apr/26,
Epic,Fix login layout,Nebula,v2.0,Zeta Group,Riley Quinn,Riley Quinn,Sprint 14,15/Oct/25,20/Jan/26,10/Apr/26,3,Nebula-121,Critical,"Backend,Security,UI","Frontend,Authentication",Apollo-1079,To Do,7,1,14,7,2,2,3,7,11/Apr/25,10/Feb/25
Epic,Update theme module,Helix,v4.7,Gamma Crew,Taylor Cruz,Jamie Fox,Sprint 29,20/Aug/24,05/May/25,21/May/25,15,,Low,"API,UI,Backend","Database,Notifications",Apollo-1083,In Progress,5,0,15,23,2,1,2,5,19/Nov/24,
Epic,Update dashboard feature,Lynx,v3.4,Alpha Team,Riley Quinn,Alex Hunter,Sprint 27,26/Jan/26,25/Nov/24,05/Nov/25,11,,Critical,API,Authentication,Apollo-1084,In Progress,7,0,15,7,2,2,3,7,,
Epic,Fix chat module,Nebula,v5.6,Zeta Group,Taylor Cruz,Alex Hunter,Sprint 14,23/Apr/25,06/Jun/26,,2,,Low,"Backend,Performance,Security","Authentication,Analytics",Nebula-1086,Done,1,0,15,5,0,1,0,1,02/Nov/25,
Epic,Add chat support,Orion,v3.2,Zeta Group,Jamie Fox,Jamie Fox,Sprint 10,26/May/26,03/Nov/24,,10,Apollo-7,Medium,"Backend,Feature",Analytics,Nebula-1087,In Progress,3,4,11,56,2,1,0,3,20/Jun/26,26/Jul/24
Epic,Remove login layout,Lynx,v4.7,Nova Squad,Alex Hunter,Jamie Fox,Sprint 14,26/Sep/24,11/Apr/25,18/Nov/25,10,Apollo-53,Critical,"Security,API,Performance","Notifications,Analytics",Apollo-1090,To Do,4,0,15,4,2,0,2,4,,15/Sep/24
Epic,Update dashboard feature,Helix,v2.7,Zeta Group,Jordan Blake,Alex Hunter,Sprint 22,23/May/25,24/Jun/24,07/Mar/25,14,Apollo-80,Medium,API,Database,Apollo-1096,Done,5,10,5,100,1,1,3,5,14/Jan/26,19/Jan/25
Epic,Update reporting module,Helix,v4.0,Alpha Team,Riley Quinn,Jamie Fox,Sprint 26,16/Dec/25,,03/Jul/24,3,Nebula-47,Medium,"API,Performance,Backend",Analytics,Nebula-1006,Blocked,3,1,14,8,1,2,0,3,30/Apr/25,24/Jan/25
Initiative,Remove dashboard bug,Nebula,v4.1,Nova Squad,Jordan Blake,Taylor Cruz,Sprint 10,19/Jul/25,05/Aug/24,11/Dec/24,10,,Medium,"Performance,Feature",Notifications,Apollo-1085,To Do,5,0,15,0,2,2,1,5,25/Feb/25,
Initiative,Update login support,Nebula,v1.4,Delta Force,Alex Hunter,Jordan Blake,Sprint 13,,30/Jun/25,31/Aug/24,11,,Low,"Performance,Feature","Analytics,Notifications",Nebula-1023,To Do,5,1,14,8,1,1,3,5,09/Aug/24,
Epic,Update reporting layout,Lynx,v4.9,Nova Squad,Taylor Cruz,Taylor Cruz,Sprint 22,22/Oct/25,04/Mar/25,14/May/25,7,,Low,Performance,Frontend,Nebula-1000,To Do,6,0,15,2,2,3,1,6,23/Dec/24,14/Oct/24
Initiative,Update login feature,Orion,v5.8,Nova Squad,Jamie Fox,Jordan Blake,Sprint 29,03/Sep/25,,,13,,High,"Backend,Security","Notifications,Frontend",Nebula-1036,Done,2,9,6,100,1,1,0,2,30/Apr/26,
Epic,Refactor login feature,Orion,v4.4,Nova Squad,Taylor Cruz,Jordan Blake,Sprint 27,31/Mar/25,01/Mar/25,12/Jan/26,15,,Medium,Feature,Frontend,Apollo-1099,To Do,3,1,14,9,1,0,2,3,24/Nov/25,17/Mar/26
Epic,Remove theme bug,Apollo,v1.1,Nova Squad,Taylor Cruz,Riley Quinn,Sprint 1,03/Feb/26,16/Mar/25,,7,,Critical,Backend,Analytics,Nebula-1013,To Do,3,0,15,3,1,2,0,3,,14/Mar/26
